Country,Month_name,Month,Year,Events,Fatalities
Kenya,March,3,2019,16,17
Kenya,April,4,2019,21,21
Kenya,May,5,2019,15,26
Kenya,June,6,2019,18,26
Kenya,July,7,2019,13,10
Kenya,August,8,2019,11,16
Kenya,September,9,2019,30,41
Kenya,October,10,2019,26,33
Kenya,November,11,2019,22,27
Kenya,December,12,2019,37,51
Kenya,January,1,2020,28,34
Kenya,February,2,2020,24,26
Kenya,March,3,2020,34,44
Kenya,April,4,2020,35,33
Kenya,May,5,2020,35,38
Kenya,June,6,2020,22,31
Kenya,July,7,2020,31,23
Kenya,August,8,2020,19,14
Kenya,September,9,2020,19,40
Kenya,October,10,2020,20,12
Kenya,November,11,2020,26,28
Kenya,December,12,2020,18,20
Kenya,January,1,2021,38,51
Kenya,February,2,2021,10,3
Kenya,March,3,2021,15,13
Kenya,April,4,2021,10,13
Kenya,May,5,2021,31,38
Kenya,June,6,2021,32,66
Kenya,July,7,2021,37,69
Kenya,August,8,2021,30,21
Kenya,September,9,2021,45,30
Kenya,October,10,2021,41,63
Kenya,November,11,2021,39,61
Kenya,December,12,2021,52,53
Kenya,January,1,2022,70,103
Kenya,February,2,2022,79,86
Kenya,March,3,2022,99,92
Kenya,April,4,2022,80,39
Kenya,May,5,2022,67,31
Kenya,June,6,2022,85,44
Kenya,July,7,2022,103,44
Kenya,August,8,2022,109,40
Kenya,September,9,2022,54,47
Kenya,October,10,2022,75,41
Kenya,November,11,2022,101,57
Kenya,December,12,2022,72,61
Kenya,January,1,2023,92,96
Kenya,February,2,2023,91,113
Kenya,March,3,2023,103,78
Kenya,April,4,2023,91,52
Kenya,May,5,2023,93,65
Kenya,June,6,2023,112,88
Kenya,July,7,2023,84,88
Kenya,August,8,2023,90,118
Kenya,September,9,2023,107,107
Kenya,October,10,2023,88,49
Kenya,November,11,2023,73,58
Kenya,December,12,2023,76,59
Kenya,January,1,2024,76,54
Kenya,February,2,2024,89,52
Kenya,March,3,2024,112,93
Kenya,April,4,2024,62,36
Kenya,May,5,2024,82,47
Kenya,June,6,2024,72,54
Kenya,July,7,2024,93,73
Kenya,August,8,2024,85,62
Kenya,September,9,2024,130,79
Kenya,October,10,2024,13,3
